home_team,game_date,umpire
CHC,2023-08-19,Bill Miller
CHC,2023-08-20,Chad Whitson
CHC,2023-08-28,James Hoye
CHC,2023-08-29,John Libka
CHC,2023-08-30,D.J. Reyburn
CHC,2023-09-04,Ron Kulpa
CHC,2023-09-05,Jansen Visconti
CHC,2023-09-06,Carlos Torres
CHC,2023-09-07,Malachi Moore
CHC,2023-09-08,Bruce Dreckman
CHC,2023-09-09,Stu Scheurwater
CHC,2023-09-10,Mark Wegner
CHC,2023-09-19,Jim Wolf
CHC,2023-09-20,Alan Porter
CHC,2023-09-21,Nate Tomlinson
CHC,2023-09-22,Dan Iassogna
CHC,2023-09-23,Adam Beck
CHC,2023-09-24,Junior Valentine
CWS,2023-04-03,James Hoye
CWS,2023-04-05,D.J. Reyburn
CWS,2023-04-06,John Libka
CWS,2023-04-14,Alex MacKay
CWS,2023-04-15,Todd Tichenor
CWS,2023-04-16,Brian Knight
CWS,2023-04-19,Ben May
CWS,2023-04-27,Alex MacKay
CWS,2023-04-28,Marvin Hudson
CWS,2023-04-29,Hunter Wendelstedt
CWS,2023-04-30,John Tumpane
CWS,2023-05-02,Dan Bellino
CWS,2023-05-03,Phil Cuzzi
CWS,2023-05-04,Mark Ripperger
CWS,2023-05-12,Mark Wegner
CWS,2023-05-13,Bruce Dreckman
CWS,2023-05-14,Stu Scheurwater
CWS,2023-05-16,Adam Beck
CWS,2023-05-17,Dan Iassogna
CWS,2023-05-18,Gabe Morales
CWS,2023-05-19,Ryan Wills
CWS,2023-05-20,Phil Cuzzi
CWS,2023-05-21,Shane Livensparger
CWS,2023-05-29,John Libka
CWS,2023-05-30,Clint Vondrak
CWS,2023-05-31,James Hoye
CWS,2023-06-02,Jansen Visconti
CWS,2023-06-03,Cory Blaser
CWS,2023-06-04,Ron Kulpa
CWS,2023-06-09,David Rackley
CWS,2023-06-10,Chris Guccione
CWS,2023-06-11,Nate Tomlinson
CWS,2023-06-19,James Hoye
CWS,2023-06-20,D.J. Reyburn
CWS,2023-06-21,Clint Vondrak
CWS,2023-06-23,Gabe Morales
CWS,2023-06-24,Adam Beck
CWS,2023-06-25,Dan Iassogna
CWS,2023-07-04,Nate Tomlinson
CWS,2023-07-07,Doug Eddings
CWS,2023-07-08,Lance Barrett
CWS,2023-07-09,Alfonso Márquez
CWS,2023-07-25,Nick Mahrley
CWS,2023-07-26,Vic Carapazza
CWS,2023-07-27,Tony Randazzo
CWS,2023-07-28,Alex Tosi
CWS,2023-07-29,Brian Knight
CWS,2023-07-30,Todd Tichenor
CWS,2023-08-07,Laz Diaz
CWS,2023-08-08,Mike Estabrook
CWS,2023-08-09,Andy Fletcher
CWS,2023-08-11,Carlos Torres
CWS,2023-08-12,Jansen Visconti
CWS,2023-08-13,Cory Blaser
CWS,2023-08-21,Shane Livensparger
CWS,2023-08-22,Dan Bellino
CWS,2023-08-23,Phil Cuzzi
CWS,2023-08-24,Ben May
CWS,2023-08-25,Larry Vanover
CWS,2023-08-26,Nate Tomlinson
CWS,2023-08-27,David Rackley
CWS,2023-09-01,Lance Barksdale
CWS,2023-09-02,Ramon D
CWS,2023-09-03,Will Little
CWS,2023-09-13,Nic Lentz
CWS,2023-09-14,Jim Wolf
CWS,2023-09-15,Alan Porter
CWS,2023-09-16,Nate Tomlinson
CWS,2023-09-17,Sean Barber
CWS,2023-09-26,Manny Gonzalez
CWS,2023-09-27,Adrian Johnson
CWS,2023-09-28,Junior Valentine
CWS,2023-09-29,Marvin Hudson
CWS,2023-09-30,John Tumpane
CWS,2023-10-01,Alex MacKay
CIN,2023-03-30,Mark Wegner
CIN,2023-04-01,Bruce Dreckman
CIN,2023-04-02,Stu Scheurwater
CIN,2023-04-03,Bill Miller
CIN,2023-04-04,Rob Drake
CIN,2023-04-13,David Rackley
CIN,2023-04-14,Edwin Moscoso
CIN,2023-04-15,Jeremy Riggs
CIN,2023-04-16,Chris Guccione
CIN,2023-04-17,Andy Fletcher
CIN,2023-04-18,Mike Estabrook
CIN,2023-04-19,Erich Bacchus
CIN,2023-04-24,Will Little
CIN,2023-04-25,Ryan Additon
CIN,2023-04-26,Dan Merzel
CIN,2023-05-05,Brian Knight
CIN,2023-05-06,Alex Tosi
CIN,2023-05-07,Tony Randazzo
CIN,2023-05-09,Bruce Dreckman
CIN,2023-05-10,Stu Scheurwater
CIN,2023-05-11,Malachi Moore
CIN,2023-05-19,Brian O'Nora
CIN,2023-05-20,Pat Hoberg
CIN,2023-05-21,Emil Jimenez
CIN,2023-05-22,Lance Barksdale
CIN,2023-05-23,Will Little
CIN,2023-05-24,Ryan Additon
CIN,2023-05-25,Dan Merzel
CIN,2023-06-02,D.J. Reyburn
CIN,2023-06-03,John Libka
CIN,2023-06-04,Clint Vondrak
CIN,2023-06-05,James Hoye
CIN,2023-06-06,Carlos Torres
CIN,2023-06-07,Brock Ballou
CIN,2023-06-08,Ron Kulpa
CIN,2023-06-19,Alex Tosi
CIN,2023-06-20,Todd Tichenor
CIN,2023-06-21,Tony Randazzo
CIN,2023-06-23,Chad Fairchild
CIN,2023-06-24,Nic Lentz
CIN,2023-06-25,Brock Ballou
CIN,2023-06-30,Jeff Nelson
CIN,2023-07-01,Ryan Wills
CIN,2023-07-02,Chris Segal
CIN,2023-07-14,Nestor Ceja
CIN,2023-07-15,Brian O'Nora
CIN,2023-07-16,Edwin Jimenez
CIN,2023-07-17,Tom Hanahan
CIN,2023-07-18,Gabe Morales
CIN,2023-07-19,Adam Beck
CIN,2023-07-20,Dan Iassogna
CIN,2023-07-21,Nate Tomlinson
CIN,2023-07-22,David Rackley
CIN,2023-07-23,Chris Guccione
CIN,2023-08-04,Brian Knight
CIN,2023-08-05,John Libka
CIN,2023-08-06,Clint Vondrak
CIN,2023-08-07,Roberto Ortiz
CIN,2023-08-08,Rob Drake
CIN,2023-08-09,Bill Miller
CIN,2023-08-15,Alan Porter
CIN,2023-08-16,John Bacon
CIN,2023-08-18,Dan Bellino
CIN,2023-08-19,Phil Cuzzi
CIN,2023-08-20,Mark Ripperger
CIN,2023-09-02,Laz Diaz
CIN,2023-09-03,Mike Estabrook
CIN,2023-09-04,Marvin Hudson
CIN,2023-09-05,Derek Thomas
CIN,2023-09-06,John Tumpane
CIN,2023-09-08,Jordan Baker
CIN,2023-09-09,Brennan Miller
CIN,2023-09-10,Tripp Gibson
CIN,2023-09-18,Marvin Hudson
CIN,2023-09-19,Alex Tosi
CIN,2023-09-20,Ryan Blakney
CIN,2023-09-22,Bruce Dreckman
CIN,2023-09-23,Stu Scheurwater
CIN,2023-09-24,Mark Wegner
CLE,2023-04-07,Nate Tomlinson
CLE,2023-04-08,James Hoye
CLE,2023-04-09,D.J. Reyburn
CLE,2023-04-10,Larry Vanover
CLE,2023-04-11,Edwin Moscoso
CLE,2023-04-12,Chris Guccione
CLE,2023-04-23,Lance Barksdale
CLE,2023-04-24,Ramon D
CLE,2023-04-25,Doug Eddings
CLE,2023-04-26,Edwin Moscoso
CLE,2023-05-05,Dan Iassogna
CLE,2023-05-06,Gabe Morales
CLE,2023-05-07,Scott Barry
CLE,2023-05-08,Nick Mahrley
CLE,2023-05-09,Jerry Layne
CLE,2023-05-10,Adam Hamari
CLE,2023-05-12,Manny Gonzalez
CLE,2023-05-13,Junior Valentine
CLE,2023-05-14,Adrian Johnson
CLE,2023-05-22,Jeremie Rehak
CLE,2023-05-23,Chad Fairchild
CLE,2023-05-24,Nic Lentz
CLE,2023-05-26,Chris Guccione
CLE,2023-05-27,David Rackley
CLE,2023-05-28,Edwin Jimenez
CLE,2023-06-06,Stu Scheurwater
CLE,2023-06-07,Malachi Moore
CLE,2023-06-08,Andy Fletcher
CLE,2023-06-09,Laz Diaz
CLE,2023-06-10,Mike Estabrook
CLE,2023-06-11,Erich Bacchus
CLE,2023-06-20,Carlos Torres
CLE,2023-06-21,Brock Ballou
CLE,2023-06-22,Cory Blaser
CLE,2023-06-23,Dan Merzel
CLE,2023-06-24,Will Little
CLE,2023-06-25,Lance Barksdale
CLE,2023-07-03,Brian O'Nora
CLE,2023-07-04,Pat Hoberg
CLE,2023-07-05,Edwin Jimenez
CLE,2023-07-06,Mark Carlson
CLE,2023-07-07,Brennan Miller
CLE,2023-07-08,Derek Thomas
CLE,2023-07-09,Randy Rosenberg
CLE,2023-07-21,Tom Hanahan
CLE,2023-07-22,Gabe Morales
CLE,2023-07-23,Adam Beck
CLE,2023-07-24,Brian O'Nora
CLE,2023-07-25,Edwin Jimenez
CLE,2023-07-26,Pat Hoberg
CLE,2023-08-04,Bruce Dreckman
CLE,2023-08-05,Mark Wegner
CLE,2023-08-06,Stu Scheurwater
CLE,2023-08-07,Chad Fairchild
CLE,2023-08-08,Charlie Ramos
CLE,2023-08-09,Nic Lentz
CLE,2023-08-10,Jeremie Rehak
CLE,2023-08-19,CB Bucknor
CLE,2023-08-20,Ben May
CLE,2023-08-22,Mark Wegner
CLE,2023-08-23,Malachi Moore
CLE,2023-08-24,Bruce Dreckman
CLE,2023-09-01,Chris Segal
CLE,2023-09-02,CB Bucknor
CLE,2023-09-03,Ben May
CLE,2023-09-04,Chad Fairchild
CLE,2023-09-05,Nic Lentz
CLE,2023-09-06,Paul Clemons
CLE,2023-09-15,Lance Barrett
CLE,2023-09-16,Rob Drake
CLE,2023-09-17,Roberto Ortiz
CLE,2023-09-21,Tom Hanahan
CLE,2023-09-22,Nestor Ceja
CLE,2023-09-23,Brian O'Nora
CLE,2023-09-24,Chris Segal
CLE,2023-09-26,Mike Muchlinski
CLE,2023-09-27,Sean Barber
COL,2023-04-06,Cory Blaser
COL,2023-04-07,Carlos Torres
COL,2023-04-08,Jansen Visconti
COL,2023-04-09,Ron Kulpa
COL,2023-04-10,Shane Livensparger
COL,2023-04-11,Dan Bellino
COL,2023-04-12,Phil Cuzzi
COL,2023-04-17,Gabe Morales
COL,2023-04-18,Dan Iassogna
COL,2023-04-19,Adam Beck
COL,2023-04-28,Nic Lentz
COL,2023-04-29,Emil Jimenez
COL,2023-04-30,Paul Emmel
COL,2023-05-02,Edwin Jimenez
COL,2023-05-03,James Hoye
COL,2023-05-04,D.J. Reyburn
